,hash,"stride-1,dtype-f","stride-1,dtype-d","stride-2,dtype-f","stride-2,dtype-d","stride-4,dtype-f","stride-4,dtype-d"
26,f737b354e6ab2aef8b4c05bca0011de46a4b53b0,9.583611972630024e-05,0.00036355615260877784,9.627625854177909e-05,0.00035864866242326537,9.511726993051441e-05,0.0003517964699616035
27,bbd5a7750fbed42a4aaf12f196282a9504a1e865,9.345388547940688e-05,0.00034799391093353433,9.441999718546867e-05,0.00035037677735090257,9.492407129569488e-05,0.00035179879826804006
28,66f1b8a5411e8265ed87ff7bf97c67960af2624d,9.355906989764083e-05,0.0003480780714501937,9.398607283153318e-05,0.0003511905980606874,9.513502432541414e-05,0.00035869744606316085
29,d9347181d825d9426e783cfeafee304735bd25aa,9.868631050700234e-05,0.0003650577925145626,9.996455737224248e-05,0.00036633075696641,0.00010638399264560296,0.00036828855759110944
30,fc159a547f091d1d6f75db470a0b8e9b2e7acea6,0.00010158310813659971,0.0003734255775011011,0.00010323176752323303,0.00037709059792437723,0.00010467478289053991,0.0003785319859161973
31,857125603f3cf72e2078ed2effd0f6ce40f0ca28,9.377618658949028e-05,0.00034892402278880277,9.427728893404656e-05,0.00035617391889293987,9.53834376890551e-05,0.0003538203736146291
32,847119387dedec1ce7a85c1c0f29bcf86bc0348d,9.370485998012803e-05,0.0003485669537136952,9.826584719121456e-05,0.00035868959244469116,9.992747906256805e-05,0.00036805730113493543
33,deb4be85025088553d80d6637dbc17d7f8101f41,9.374202821742404e-05,0.00034985397942364214,9.426110085438598e-05,0.0003505186953892311,9.529379789124836e-05,0.00035306870316465693
34,0c06b0b8593d947c5d63b72b6d84ecf83ae5da5b,9.377662261778657e-05,0.0003498112317174673,9.42657066678459e-05,0.0003500919323414564,9.561211548068306e-05,0.0003524570570637782
35,c003e6ef6e421d23b5bf98f01df20f1350f61ea1,9.379723871296103e-05,0.0003484424358854691,9.409082122147083e-05,0.0003520214930176735,9.557383812286637e-05,0.00035379755621155103
36,a0c5f64f4f1a7f6ee80dc9b95aa813df28a87d72,9.347147900949824e-05,0.00035269920093317824,9.44201707501303e-05,0.000350525975227356,9.52732664617625e-05,0.00035567608950980774
37,c53c89f0d8572086dd13cbe1c3c98a4e73b41d09,9.359333410181782e-05,0.00034823383515079817,9.421108459884469e-05,0.0003507077404908065,9.53306062993678e-05,0.0003525237708042065
38,767744c86e1e4a27bf77f90a85f17e564c9b94ea,9.382997470145876e-05,0.00034863118018055783,9.432564997537569e-05,0.00035013393498957153,9.57316295667128e-05,0.0003531050450842956
39,e657629bbc2bfb880a1b2fa24a39c5921c1f965e,9.360731240700592e-05,0.00035091531462967397,9.405285712670196e-05,0.0003502689430425907,9.512959302149036e-05,0.00035312880451480544
40,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,0.00010206911466875167,0.00035376534797251227,0.00010243165489359229,0.00035740781960816217,0.00010309811628792645,0.00035882440941600966
41,ce140e8d5c28f1f057db1102cf78263e48f86d61,9.369514882564544e-05,0.000360175389154204,9.431179866872051e-05,0.00036079070434488097,9.551149454306473e-05,0.00036526699389876987
42,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,9.386833249167963e-05,0.00034799212589859964,9.402499482449557e-05,0.000351311747605602,9.529682790377626e-05,0.00035248640924692156
43,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,9.401206096464938e-05,0.0003488913644105196,9.945436719466339e-05,0.0003525271235654752,9.558372284201058e-05,0.0003539332477697011
44,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,9.371526962654157e-05,0.0003494860138744116,9.4466106119481e-05,0.0003528404515236616,9.581049110878398e-05,0.00035469232383987
45,71555c48be7f07833bd540dacb50deb8069b551f,9.369886141609062e-05,0.0003483028151094914,9.428512474352663e-05,0.00034989286214113233,9.517653591253542e-05,0.000351769741003712
46,5324067c702a41e901354a01a5f0d05ff49b6cb4,9.357951666143807e-05,0.00034856782294809816,9.405574422668327e-05,0.0003507473040372133,9.551485153761777e-05,0.00035605735370311244
47,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,9.430056776512753e-05,0.0003509076467404763,9.506514126604254e-05,0.000352998970654504,9.566203437068245e-05,0.00035521045016745725
48,45ee22fa2fdd2bace756ed62685a346da91c4cb2,9.466901590878313e-05,0.000348521148165067,9.54929485239766e-05,0.00035074444798131784,0.00010025953977472252,0.000352601520717144
49,798aee26bdb9dcc0e806ca9271f0f98297188dec,9.432234378023581e-05,0.00035564182326197624,9.500250982289965e-05,0.00035960407092653474,9.609952315010808e-05,0.0003590887123397712
50,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,9.40181611275131e-05,0.00034775384701788423,9.598512710495428e-05,0.00035110247674687153,9.591555730863051e-05,0.0003520962471763293
51,fca7a15f30776ebce9e6814eb927e837f567a518,9.391228668391703e-05,0.0003484415200849374,9.697958911684426e-05,0.00035157268866896634,9.561657312918794e-05,0.0003572010279943546
52,26311ed7bf80e02c827189e80084602d72e4f284,9.399145333604378e-05,0.00034990172897433414,9.440143846652725e-05,0.000350601024304827,9.538428857922555e-05,0.00035250956813494364
53,b5e01bcb668da0413170a886c258e00d2540e752,9.388616308569908e-05,0.0003493642434477806,9.442624974657189e-05,0.0003503273862103621,9.562186473472553e-05,0.0003520192733655373
54,ab30683fe1277a7fd471be63975a02ed8d766f94,9.42001034590331e-05,0.000348735631754001,9.45277681404894e-05,0.0003508515345553557,9.603433480316942e-05,0.00035283979959785936
55,3c89e2f913406f55b6e998017c1149e3ba383bcc,9.404872120781378e-05,0.0003493990128238996,9.431687861003658e-05,0.0003518793887148301,9.57143408331004e-05,0.00035544255234558006
56,590f07121dc55e6d9d9ce514887c9bbc253fb266,9.380902841009877e-05,0.0003543963966270288,9.43284400779268e-05,0.0003568642462293307,9.520826861262322e-05,0.00035740539495801105
57,872372bd56ccb5fe98faae8be7d14e4a8c69e037,9.349262849851089e-05,0.0003535062074661255,9.424876506355676e-05,0.0003573075097439618,9.55296369890372e-05,0.0003571265923051998
58,70a84c3192b4f231925e8e36f50d6a26bff3b46d,9.405230679972605e-05,0.00035472487195812425,9.46120951663364e-05,0.00035685270318183405,9.56618015400388e-05,0.00035982444111643165
59,9d416356baf4a653b2c647a921ae24ba7d39e8df,9.363556534729221e-05,0.00034954906441271306,9.458634409714828e-05,0.0003501194497120791,9.544751675868476e-05,0.00035265920062859855
60,09dd75e9e2139bc9742e6009b7babe41d4c002df,9.403454393825747e-05,0.00034899149710933367,9.48496586219831e-05,0.00035058016535537,9.584765542637218e-05,0.000352974950025479
61,85d64e375f53f6028519d3aaad0b421934dcbe24,9.395613081075929e-05,0.000349065816650788,9.467178024351597e-05,0.00035148655685285726,9.541164406321265e-05,0.0003539779999603828
62,09e04dcbe3d0c836437b2d4745b353b256ec6265,9.474123997444456e-05,0.00035030065725247066,9.660752718600461e-05,0.00035116327926516534,0.00010087490778103053,0.0003523156357308229
63,cdd7ab252988ff4254705e0a89874edeb5cea8eb,9.514393115585501e-05,0.00035378132015466694,9.552269581366669e-05,0.0003551155794411898,9.644589048217643e-05,0.0003567415707070252
64,06da877ceae914a875bd1a55cd8e271332358803,9.383840317075903e-05,0.0003485383310665687,9.46248500523242e-05,0.00035178161536653834,9.577994984863079e-05,0.0003545453836177958
