,hash,dtype-<class 'numpy.int8'>,dtype-<class 'numpy.uint8'>,dtype-<class 'numpy.int16'>,dtype-<class 'numpy.uint16'>,dtype-<class 'numpy.int32'>,dtype-<class 'numpy.uint32'>,dtype-<class 'numpy.int64'> (0),dtype-<class 'numpy.uint64'>,dtype-<class 'numpy.float32'>,dtype-<class 'numpy.float64'>,dtype-<class 'numpy.int64'> (1)
26,f737b354e6ab2aef8b4c05bca0011de46a4b53b0,,,,,,,,,6.479462285692981e-05,0.00010102947093194948,
27,bbd5a7750fbed42a4aaf12f196282a9504a1e865,,,,,,,,,6.444897133343178e-05,9.815449852289425e-05,
28,66f1b8a5411e8265ed87ff7bf97c67960af2624d,,,,,,,,,6.355741602736851e-05,9.694816101165046e-05,
29,d9347181d825d9426e783cfeafee304735bd25aa,,,,,,,,,6.373199524686618e-05,0.00010327746393159031,
30,fc159a547f091d1d6f75db470a0b8e9b2e7acea6,,,,,,,,,6.565796433105355e-05,0.00010545347584411501,
31,857125603f3cf72e2078ed2effd0f6ce40f0ca28,,,,,,,,,8.17610209600793e-05,0.00012311129262898026,
32,847119387dedec1ce7a85c1c0f29bcf86bc0348d,,,,,,,,,6.425823085010052e-05,0.00010428399465388,
33,deb4be85025088553d80d6637dbc17d7f8101f41,,,,,,,,,6.584414384431309e-05,0.00010070256779299063,
34,0c06b0b8593d947c5d63b72b6d84ecf83ae5da5b,,,,,,,,,6.516550298361383e-05,0.00010020208388271898,
35,c003e6ef6e421d23b5bf98f01df20f1350f61ea1,,,,,,,,,6.532577468740369e-05,0.00010363546480397576,
36,a0c5f64f4f1a7f6ee80dc9b95aa813df28a87d72,,,,,,,,,6.664875250513831e-05,0.00010477492053593908,
37,c53c89f0d8572086dd13cbe1c3c98a4e73b41d09,,,,,,,,,6.673788291864966e-05,0.00010163055561048892,
38,767744c86e1e4a27bf77f90a85f17e564c9b94ea,,,,,,,,,6.760456654402984e-05,9.956466965377331e-05,
39,e657629bbc2bfb880a1b2fa24a39c5921c1f965e,,,,,,,,,6.450187227517896e-05,0.00010055735603802734,
40,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,,,,,,,,,6.696321153348046e-05,0.00010442274664951997,
41,ce140e8d5c28f1f057db1102cf78263e48f86d61,,,,,,,,,6.571456296591176e-05,0.00010841096567067629,
42,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,,,,,,,,,6.567697889883729e-05,0.00010379160174348376,
43,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,,,,,,,,,6.617617090137637e-05,0.00010235117549456439,
44,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,,,,,,,,,6.641817548458116e-05,0.00010320535340510746,
45,71555c48be7f07833bd540dacb50deb8069b551f,,,,,,,,,6.486838739589755e-05,0.00010205377780255818,
46,5324067c702a41e901354a01a5f0d05ff49b6cb4,,,,,,,,,7.348079855243365e-05,0.00010533532282958428,
47,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,,,,,,,,,6.948730398742659e-05,0.00010802873167330804,
48,45ee22fa2fdd2bace756ed62685a346da91c4cb2,,,,,,,,,7.205518361713205e-05,0.00010997744171505736,
49,798aee26bdb9dcc0e806ca9271f0f98297188dec,,,,,,,,,6.440674575666587e-05,9.72909089014457e-05,
50,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,,,,,,,,,6.417184634284573e-05,9.267908813021447e-05,
51,fca7a15f30776ebce9e6814eb927e837f567a518,,,,,,,,,6.347791596767847e-05,9.903512387113137e-05,
52,26311ed7bf80e02c827189e80084602d72e4f284,,,,,,,,,6.449100930757564e-05,9.691988911907204e-05,
53,b5e01bcb668da0413170a886c258e00d2540e752,,,,,,,,,6.286812352080797e-05,9.26338220861825e-05,
54,ab30683fe1277a7fd471be63975a02ed8d766f94,,,,,,,,,6.360060985336143e-05,9.49754866517403e-05,
55,3c89e2f913406f55b6e998017c1149e3ba383bcc,,,,,,,,,6.423377582813774e-05,9.643800434804409e-05,
56,590f07121dc55e6d9d9ce514887c9bbc253fb266,,,,,,,,,6.631565929362268e-05,9.48220533742146e-05,
57,872372bd56ccb5fe98faae8be7d14e4a8c69e037,,,,,,,,,9.182619300386137e-05,0.0001339136139938125,
58,70a84c3192b4f231925e8e36f50d6a26bff3b46d,,,,,,,,,6.249220470435049e-05,9.631961372426966e-05,
59,9d416356baf4a653b2c647a921ae24ba7d39e8df,,,,,,,,,6.96103454643638e-05,9.865361886719862e-05,
