,hash,type-int16,type-float16,type-int32,type-float32,type-int64,type-float64,type-complex64,type-longfloat,type-complex128,type-complex256
35,7b9b41a4c7dbd7b719d62f343f57f841f5809693,1.2504435748264844e-06,1.4031917658232509e-06,1.2637134892131651e-06,1.2825403887401128e-06,1.2464202463269327e-06,1.2894120632803867e-06,1.314845293652786e-06,1.4353151094566813e-06,1.2507170381611602e-06,1.3851313083277513e-06
36,ae88e02a48c4744afd22c63be388870037f3c84c,1.388191236404565e-06,1.4135575079452752e-06,1.2448052904991921e-06,1.2564329179148706e-06,1.2768057827764395e-06,1.2413577239636124e-06,1.2909149292840475e-06,1.5445376721201504e-06,1.3379988108963979e-06,1.4468305457706187e-06
37,0aeab48b9e914d1dc7041b7e3f3b7e575ffcbbed,1.3067057704703562e-06,1.411535952574168e-06,1.2500562842779623e-06,1.2828013955526226e-06,1.2725550286744045e-06,1.258718178079746e-06,1.3204265385554669e-06,1.5643960099493884e-06,1.2479376463731378e-06,1.3511395880237147e-06
38,c18b3f59b5f5752ab038224fd3bdf2dadba55ecf,1.2985244262272225e-06,1.489235836357675e-06,1.3358518118378638e-06,1.330678029905781e-06,1.3339209009862748e-06,1.3515832188708716e-06,1.3972411554956424e-06,1.5131135338306276e-06,1.350978377737912e-06,1.4428869148081058e-06
39,a5e5e51187d4476841503ce816924ea99936dba0,1.2898785190639894e-06,1.453705839156524e-06,1.345540854840276e-06,1.3234199537197266e-06,1.3089293512337126e-06,1.3229512717360797e-06,1.3011557208940897e-06,1.4296757950389085e-06,1.3373236841459525e-06,1.4174420901043902e-06
40,b69cf68a24cffea0a884a102da1797755de8f022,1.39280272321166e-06,1.468924749054507e-06,1.2901275863831743e-06,1.3235231141330747e-06,1.3179701083445433e-06,1.2889876847313228e-06,1.3340795891744566e-06,1.4992224664711796e-06,1.362151018872169e-06,1.3904653153013808e-06
41,ee3e17a7c3e3efdeafe907b394de56aed01a70e0,1.3063901239298484e-06,1.5152297818916634e-06,1.3091824820173797e-06,1.3579778377816762e-06,1.3084201664066922e-06,1.3144679696305161e-06,1.344572335973583e-06,1.4797747954636183e-06,1.3256331835948435e-06,1.4702141012777372e-06
42,c71ce0e6dbd9ec67b3ac7fb5ac3eb609f8a56829,1.8463149235219818e-06,2.008789325995544e-06,1.815636746919676e-06,1.734696429718295e-06,1.7659854068043602e-06,1.718228648586883e-06,1.7849087437891758e-06,1.9132478678662494e-06,1.7315783623488062e-06,1.866471278001756e-06
43,0ce156413feb21a4f2a8eae3b1cd954d04240edd,1.325770930837067e-06,1.480628417839723e-06,1.3395626170204796e-06,1.3286412337134978e-06,1.310836713933215e-06,1.2950724459761339e-06,1.3543909773374883e-06,1.4196813051311232e-06,1.399148455008137e-06,1.4218781462426932e-06
44,7e3fd81c039b0e22715c4e6eb63439bdf5a620bf,1.4730377495515569e-06,1.711566638281694e-06,1.4242021795105297e-06,1.5025825478809923e-06,1.52793337055099e-06,1.5312074007408402e-06,1.7284283271278543e-06,1.619012650753739e-06,1.4963655100084604e-06,1.5767635083515952e-06
45,a6b4b2bdd6baf2afde27284097426e93912452e9,1.392600945869909e-06,1.5759522536932003e-06,1.3820757770652029e-06,1.3880044979077817e-06,1.3821576384212345e-06,1.378329681404147e-06,1.4308272651563742e-06,1.4995225985506072e-06,1.6705094520139455e-06,1.50020251350307e-06
46,c8a5ff07e5bda47eab870671634b107da5ab7934,8.2851822313868e-07,9.816018502682452e-07,8.438113467981335e-07,8.289851243453763e-07,8.099602109168839e-07,8.390580262547813e-07,8.057663638110095e-07,9.761078430539202e-07,8.177379998166791e-07,9.455958675700894e-07
47,fafd123410f1ad5c47341c66d8ea4cf541165e77,8.086713493161541e-07,9.409478635379028e-07,7.990920517982146e-07,7.959226941086309e-07,7.878458617316687e-07,8.056213526846998e-07,7.914345409706644e-07,9.513925906503573e-07,7.874193348651561e-07,8.932462909833502e-07
48,9765987c2ade250c82bfeaba49d1f9301211d63a,8.390291230523318e-07,1.0477187349405536e-06,8.454928753281631e-07,8.552745709725323e-07,8.341274676486186e-07,8.460206191828202e-07,1.3653167300351373e-06,1.4274993676239217e-06,1.3751326166114283e-06,1.5151317247414382e-06
49,dbf37449935bced333a3999afa860aaf304ab1a1,8.62560128764461e-07,1.0286987231115942e-06,8.54059205135744e-07,8.673027477902401e-07,8.720916049540034e-07,9.481145010425683e-07,9.861419975855329e-07,1.1152799541543407e-06,1.026292894608767e-06,9.938798182040708e-07
50,e1863f3582e3e8870205f8a9d1ed1cef1bf536b4,8.672125176645867e-07,1.070100834260927e-06,8.54269902333938e-07,8.497965465521679e-07,8.513339606234825e-07,8.606648719631692e-07,8.563079928048756e-07,1.037465802589175e-06,8.523701430310837e-07,1.15131712449578e-06
51,70f4309a155808d3a60a9a71db2d9482c1ec3ad7,1.13475845955201e-06,1.3323803671527168e-06,1.1312654785287726e-06,9.025321000081021e-07,1.1397834769198135e-06,1.1507260735593089e-06,1.1162727664169106e-06,1.0381044983359416e-06,1.1252659185125124e-06,1.2093600903258278e-06
52,bb6b86e2afe88b371badfcefe298945002e47006,7.817639419194197e-07,9.956854092623955e-07,8.007498904317782e-07,8.016075740670603e-07,8.118465089202263e-07,8.05480930954355e-07,8.064848993034598e-07,9.380045455393635e-07,8.07631860635523e-07,9.432148177769374e-07
53,5c3762157a0cd7a6a036a2144a5fbfc5278a919d,8.050957115419963e-07,9.67234272552146e-07,8.098224259186676e-07,8.238249832028082e-07,8.153507279686168e-07,8.160813265026654e-07,8.363473896165949e-07,9.746228786825613e-07,8.127637706773798e-07,9.195312721369025e-07
54,e0ffe3572b37190d9da5b1d07057e4e038bd3197,8.099043533148995e-07,9.886687270905399e-07,8.05821979018318e-07,8.55861730640719e-07,8.081234803917521e-07,8.672625523243076e-07,8.513787043750331e-07,9.847816043347223e-07,8.325895694714516e-07,9.266815804311688e-07
55,cfb6a4d88d88307d507a86d1d70cd7d84c611406,8.309526177054827e-07,1.0202103606311707e-06,8.305637069481289e-07,8.103920292510711e-07,8.13376196841881e-07,8.212437019641976e-07,8.149593563022169e-07,9.868206737248581e-07,8.15722189105679e-07,9.241467725422063e-07
56,d4f7d9e215773e979eb43a1e5a3cbb51f96bd09d,8.373875983911197e-07,1.0416358480818826e-06,8.319664660086348e-07,8.405866174646263e-07,1.1155428714056063e-06,1.109661493012212e-06,1.1079660969523385e-06,1.2951118800644287e-06,1.119158665426687e-06,1.0164750459476968e-06
57,bec2b07db5c999721d2d2c10334f3afe78aaadd9,8.106218680808781e-07,9.734556369949131e-07,8.265920398392215e-07,8.136714881745488e-07,8.054014619726785e-07,8.115771566262495e-07,8.179815214658162e-07,9.864152274200354e-07,8.390951430003014e-07,9.379005912871269e-07
58,5ca0ef6272ef3eabe2feb4049b7cb05a52516495,1.293559019185265e-06,1.906695849363718e-06,1.6197938296271723e-06,1.606800638537885e-06,1.6186539627970188e-06,1.307092875194873e-06,1.2829543725560419e-06,1.7401638965273447e-06,1.6099665660307743e-06,1.7025177914144624e-06
59,cb557b79fa0ce467c881830f8e8e042c484ccfaa,1.000942100654356e-06,1.02313282356166e-06,9.662840500823222e-07,9.880977510511827e-07,8.728798500669655e-07,8.382395277945777e-07,8.74987446870077e-07,1.0379385120931721e-06,8.934389675998558e-07,9.586675455052913e-07
60,badbf70324274bdb4299d8c64d3d83a26be2d4c0,1.3551666449811997e-06,1.6057356377020763e-06,9.749460320100935e-07,8.207319141431679e-07,8.20162714707623e-07,8.352107420342382e-07,8.159557858656007e-07,1.0206369283864424e-06,8.282460699346363e-07,9.899186367296023e-07
61,4c780c2d4b35a54cf45ca7d931efcaca73d0bf24,8.690732278824221e-07,1.0684871922413804e-06,8.870553595022154e-07,8.78224628116389e-07,8.813581560018815e-07,8.723612765475898e-07,9.248628187130883e-07,1.081019129427008e-06,1.3507566959529476e-06,1.0671323198876905e-06
62,3c91a3e1704c8aa7f1258aa30892040df9d952f4,9.028596819420769e-07,1.0569701208155754e-06,8.808605493924019e-07,8.722963615033319e-07,8.924926385734892e-07,8.926710926506611e-07,9.6024845499249e-07,1.271825967002332e-06,1.0794525455408307e-06,1.0614087362409165e-06
63,fe3d717080e812383900507168a6bd7093c4e434,8.112762430892884e-07,9.880090001388454e-07,8.038525130644315e-07,8.194995887142534e-07,8.163300575584878e-07,8.130671936036882e-07,8.472193870379757e-07,9.581085908972785e-07,8.519166540446735e-07,8.927977114441413e-07
64,0cb9f7f7aa8f4255fafb5431dcc595ce183bc376,8.289913727885981e-07,9.853705910658886e-07,8.256423179357829e-07,8.256410798569534e-07,8.91082954517692e-07,8.10717504931972e-07,8.633725844975306e-07,9.562766817080874e-07,8.448919642200105e-07,8.897359642755286e-07
65,e69faef03428b82f5651a5fb521610ddea2bd22a,8.670875147265259e-07,1.080028747085901e-06,8.803985786659871e-07,8.936245117823517e-07,1.2537506089748038e-06,8.723638779687202e-07,9.046151596458158e-07,1.0532187740174189e-06,8.647029911592896e-07,9.590569091167048e-07
