,hash,type-int16,type-float16,type-int32,type-float32,type-int64,type-float64,type-complex64,type-longfloat,type-complex128,type-complex256
16,5451fcb06d5ae7cd3f4a9a02314d6e574bd4c83c,4.54962304839556e-06,5.0767327256215494e-06,4.6308273461334006e-06,4.6271936513836825e-06,4.601491658130282e-06,4.572831016816121e-06,4.636390670251897e-06,4.755361938293871e-06,4.633372980498779e-06,5.238566389147114e-06
17,ee60cc9164e5a20b98ee6722e25b0df41e411675,4.772005896098116e-06,5.220868093007442e-06,4.7734577623582306e-06,4.7647185944100865e-06,4.774402921387541e-06,4.69374886067437e-06,4.828454608299568e-06,4.888977966368511e-06,4.83007181394847e-06,5.398596599107337e-06
18,f1c4ba3e97cbf5c494f29531b35da6144cac5aec,4.720915735862099e-06,4.996441276832625e-06,4.7113785193429865e-06,4.6977930519188576e-06,4.845153077342416e-06,4.752224396739703e-06,4.734724236359904e-06,4.852283551257284e-06,4.696025437025489e-06,5.28985072978946e-06
19,8f8603dd18c9c70191fd75d98793dc94c8ac30fa,4.668986314073236e-06,4.947439762778448e-06,4.627432119222166e-06,4.617335731353845e-06,4.702969913441646e-06,4.673029061986411e-06,6.659924390353498e-06,4.960274620150978e-06,4.745608610982025e-06,5.142707101822068e-06
20,d647ef2d98852e322d487d6045d5860223dcda79,4.701853280360207e-06,5.1050219251825805e-06,4.783760409847629e-06,4.680336549226634e-06,4.665188585554537e-06,4.779934130974809e-06,4.760165888858712e-06,4.8235343500609025e-06,4.726353023088554e-06,5.352059047740009e-06
21,e73c8e5479297f235b37fba91d6d0e8464be66a6,4.758700330808765e-06,5.038164011027151e-06,4.775052176234043e-06,4.739887416520614e-06,4.729355345084459e-06,4.832634276905914e-06,4.815264135111206e-06,4.840736384810743e-06,4.7897692195973485e-06,5.3171132580646954e-06
22,ad30b31af0bb3fbfdc0f11486807edc76cec2680,4.886554511866076e-06,5.039327732754084e-06,4.754492300018812e-06,5.783852970494622e-06,4.787032617367528e-06,4.833641466515345e-06,4.782398873674478e-06,4.930519476279762e-06,4.718018305534215e-06,5.053724285537698e-06
23,073316d25d24b7cb4ffc09fc705448b0e17dc2dc,4.774036121075925e-06,5.075260307471018e-06,4.680407582531206e-06,4.736409902879741e-06,4.74881715877603e-06,4.8104736309211985e-06,4.726973932767243e-06,4.823445620290427e-06,4.796796825210014e-06,5.219635125753042e-06
24,e0d27e381889cc30ac0d5ab906146b7c2794ecc7,4.7134163799808005e-06,5.1680010714290566e-06,4.8246596296718984e-06,4.719645080458545e-06,4.740962144601476e-06,4.718667792992226e-06,4.8723557811237055e-06,4.9121040480990785e-06,4.909335251022078e-06,5.1628795642499485e-06
25,fdec5a5d3dcd7fdf46886a162147d073546537cb,4.557490623278531e-06,5.165087204525731e-06,4.630133369645893e-06,4.569773767697057e-06,4.583999387705072e-06,4.639848867393009e-06,4.7014931633702225e-06,4.710512365692797e-06,4.732557897805506e-06,5.118615528520607e-06
