,hash,"dtype-f,stride-1","dtype-f,stride-2","dtype-f,stride-4","dtype-d,stride-1","dtype-d,stride-2","dtype-d,stride-4"
24,06da877ceae914a875bd1a55cd8e271332358803,9.558317264732482e-05,0.00010000443513423238,0.0001017937571131846,9.329936821648682e-05,9.848991374548693e-05,9.898424536071684e-05
25,8529dfaaec65248420faffe095bac03c23881735,9.561048182976347e-05,9.981999540253094e-05,0.0001013248798139662,9.340973179364069e-05,9.80257863623344e-05,9.869800904363563e-05
26,171a3e5811e43643788c20075be9ba52efb83b81,9.582610919923437e-05,0.00010019266213661198,0.0001042406297179136,9.439745005114343e-05,9.955414081394502e-05,9.897980899867517e-05
27,5bf9ab98edd254dee1162d6f1863053e040cf828,0.00010020250462090458,0.00010485156363917186,0.00010749207094612748,9.585890748658803e-05,0.00010053937730845064,0.0001021830227480016
28,9776a73cee9eaaff6af40e971fa2bb7f8f1086c5,9.624293637567791e-05,0.00010035323618837908,0.00010163794860796498,9.392788633704184e-05,9.852463633499363e-05,9.918905714238506e-05
29,37a1ad069a800f5ef98286f25fb3fb632375168d,9.611932711612263e-05,0.00010049312855006152,0.00010172611792716812,9.361596365289932e-05,9.84139339877556e-05,9.935932268325071e-05
30,1cb2230bb1bfb9b2544dab798dffeedce64ad39f,9.62502226519229e-05,0.00010064008406898722,0.00010196452432547162,9.409820375839008e-05,9.892615000188181e-05,9.96108772762289e-05
31,044f5131450f38cdfbab63d6999b60e7e3bbabe5,9.706503948505674e-05,0.00010068463200026736,0.00010231751407703104,9.453265454133295e-05,9.875545839787702e-05,9.925792058472843e-05
32,dc089026b4ad0d2d9ea992c7f1b9b5e716dd82cd,9.621049552647905e-05,0.00010028081022836786,0.00010160830671973703,9.414115007860924e-05,9.877727729458869e-05,9.925965463149954e-05
33,53adf81bc503d749b13160a27e49160c5bbe48d7,9.582495443861593e-05,9.978038441557955e-05,0.00010125695784341231,9.340019539443099e-05,9.803490992215975e-05,9.854290467708118e-05
34,49e00940a82f9590d774539cd188b634c29fc39f,9.603425463534553e-05,9.96860378931853e-05,0.0001015119533659455,9.325859083963389e-05,9.801781363256106e-05,9.867677264000204e-05
35,7b9b41a4c7dbd7b719d62f343f57f841f5809693,9.635157277278433e-05,0.00010021469912586595,0.00010212672652483409,9.380858642874624e-05,9.862647275440394e-05,9.902921367690645e-05
36,ae88e02a48c4744afd22c63be388870037f3c84c,9.897284551036798e-05,0.00010278997689494172,0.00010342314016839889,9.658476800805973e-05,0.00010097258650189773,0.00010111358017827611
37,0aeab48b9e914d1dc7041b7e3f3b7e575ffcbbed,9.616439545590599e-05,0.00010013704619874868,0.00010175515091999978,9.38052773232233e-05,9.818374091992156e-05,9.921774551251226e-05
38,c18b3f59b5f5752ab038224fd3bdf2dadba55ecf,9.60316757738366e-05,0.00010033757873181322,0.00010193013468569216,9.388537728227675e-05,9.827739096098495e-05,9.921582730550488e-05
39,a5e5e51187d4476841503ce816924ea99936dba0,9.613389999933795e-05,0.00010058359718338276,0.00010221456133602364,9.472798179062507e-05,9.862837265794745e-05,9.930841816557487e-05
40,b69cf68a24cffea0a884a102da1797755de8f022,9.592964541463352e-05,0.00010013729627610667,0.00010211758102135112,9.3655340870927e-05,9.878701821435243e-05,9.957683018138545e-05
41,ee3e17a7c3e3efdeafe907b394de56aed01a70e0,0.0001094246681787239,0.00011451679610509371,0.0001156619157945267,9.866863419355704e-05,0.00011182755711377555,0.00011319586057932331
42,c71ce0e6dbd9ec67b3ac7fb5ac3eb609f8a56829,9.652674540390122e-05,0.00010043917957340701,0.00010225347117599225,9.385615002512084e-05,9.87572174953702e-05,9.962876363054172e-05
43,0ce156413feb21a4f2a8eae3b1cd954d04240edd,9.643876849925923e-05,0.00010070587844570454,0.0001025054802499149,9.469393176418222e-05,9.937612273709171e-05,0.00010011473807805616
44,7e3fd81c039b0e22715c4e6eb63439bdf5a620bf,0.00010070788314202626,0.00010508222335065688,0.00010653867007931695,9.824085454139012e-05,0.00010307456306814786,0.00010370527399153126
45,a6b4b2bdd6baf2afde27284097426e93912452e9,9.660858182046055e-05,0.00010112992057546312,0.00010355655824453615,9.525026828421026e-05,9.928407274525274e-05,9.947581776737662e-05
46,c8a5ff07e5bda47eab870671634b107da5ab7934,9.932842268343931e-05,0.00010294797615469656,0.00010516189622477505,9.619173645412295e-05,0.00010224418643205849,0.00010373437279750678
47,fafd123410f1ad5c47341c66d8ea4cf541165e77,9.612243183338169e-05,0.00010024270477948622,0.00010268098584382865,9.778101818731308e-05,0.00010227621637918324,0.00010184790859896636
48,9765987c2ade250c82bfeaba49d1f9301211d63a,0.00010247995053829912,0.00010308569415305171,0.0001067402033016321,0.0001032577925566039,0.00010189317785821353,0.00010259454045973888
49,dbf37449935bced333a3999afa860aaf304ab1a1,0.00010076060202756745,0.00011815567508165259,0.00015299437114832078,0.0001338603363282428,0.0001473763605435334,0.0001347827286476136
50,e1863f3582e3e8870205f8a9d1ed1cef1bf536b4,0.0001466467571195348,0.00015729018764432112,0.00015781816398430237,0.0001376107809760253,0.0001344758487615955,0.00010510498556798736
51,70f4309a155808d3a60a9a71db2d9482c1ec3ad7,9.866460850561161e-05,0.00010342831371292727,0.00010713632175316204,9.659403175729412e-05,0.00010707212748136098,0.00010448388731638974
