,hash,"arg_kwarg-(array(1.), array(2.))","arg_kwarg-(array(1.), array(2.), array(3.))","arg_kwarg-(array(1.), array(2.), out=array(3.))","arg_kwarg-(array(1.), array(2.), out=(array(3.),))","arg_kwarg-(array(1.), array(2.), out=array(3.), subok=True, where=True)","arg_kwarg-(array(1.), array(2.), subok=True)","arg_kwarg-(array(1.), array(2.), subok=True, where=True)","arg_kwarg-(array(1.), array(2.), array(3.), subok=True, where=True)"
53,b5e01bcb668da0413170a886c258e00d2540e752,1.5677374678449229e-06,1.4266633100968643e-06,1.380865768051215e-06,1.3024844386132585e-06,1.414700866786541e-06,1.5824122756804745e-06,1.6267508596891536e-06,1.4610703367206377e-06
54,ab30683fe1277a7fd471be63975a02ed8d766f94,1.4960071554253433e-06,1.4368533563661585e-06,1.5164074113703528e-06,1.4333277405079152e-06,1.5587947250153144e-06,1.526057835301336e-06,1.548049276633668e-06,1.4829450550727748e-06
55,3c89e2f913406f55b6e998017c1149e3ba383bcc,1.3998692645648355e-06,1.2751136257231328e-06,1.2902009720548897e-06,1.2384185978150057e-06,1.340594615872266e-06,1.418197358256735e-06,1.4357915838909899e-06,1.3298444450046105e-06
56,590f07121dc55e6d9d9ce514887c9bbc253fb266,1.484390875347395e-06,1.3227326644593317e-06,1.362061439777594e-06,1.2373625056613742e-06,1.403728156747061e-06,1.521247489712096e-06,1.5329569379667288e-06,1.3677892170606493e-06
57,872372bd56ccb5fe98faae8be7d14e4a8c69e037,1.4734344146600177e-06,1.3724319697266505e-06,1.3711746551801357e-06,1.2882237452710957e-06,1.421816892997849e-06,1.5422635924560278e-06,1.5295826989889892e-06,1.4114557013859543e-06
58,70a84c3192b4f231925e8e36f50d6a26bff3b46d,1.469594114049683e-06,1.3795196621243335e-06,1.307563812609668e-06,1.2520918085384101e-06,1.3484625922085795e-06,1.5233021973375987e-06,1.5327636658670913e-06,1.3896802587080786e-06
59,9d416356baf4a653b2c647a921ae24ba7d39e8df,1.4378482749298118e-06,1.377114430131108e-06,1.354891925784924e-06,1.2828273314790106e-06,1.41526171771679e-06,1.5118087270895378e-06,1.5308650369394693e-06,1.4160976349845197e-06
60,09dd75e9e2139bc9742e6009b7babe41d4c002df,1.5526345296829137e-06,1.4543563786406065e-06,1.4627308992912984e-06,1.3753617713211842e-06,1.533196563826652e-06,1.6010774207598695e-06,1.641178565891257e-06,1.5138443122830115e-06
61,85d64e375f53f6028519d3aaad0b421934dcbe24,1.621691880756919e-06,1.4870181375640798e-06,1.4758375727867126e-06,1.4216140025598888e-06,1.5325180827672408e-06,1.6726656453921041e-06,1.6932261547258966e-06,1.5406002281016106e-06
62,09e04dcbe3d0c836437b2d4745b353b256ec6265,1.503158397889928e-06,1.3592268787130687e-06,1.4175986070233048e-06,1.2911242246009612e-06,1.4562245588828517e-06,1.536935800479108e-06,1.6051073242898407e-06,1.4329668998183052e-06
