,hash,type-int16,type-float16,type-int32,type-float32,type-int64,type-float64,type-complex64,type-longfloat,type-complex128,type-complex256
29,d9347181d825d9426e783cfeafee304735bd25aa,2.2530530668425628e-05,3.144989221222269e-05,2.3318271719584064e-05,2.8248627610369827e-05,1.591392779830281e-06,2.2433309407534525e-06,2.982251222103672e-05,2.685520020636127e-06,2.2646220536562694e-06,2.6191005245813643e-06
30,fc159a547f091d1d6f75db470a0b8e9b2e7acea6,2.234143922095503e-05,2.8745115909584946e-05,2.1398394641562783e-05,2.7119390465158337e-05,1.7705700058749744e-06,2.683509647955789e-06,2.894805524862788e-05,2.951275339821197e-06,2.5751671510022305e-06,2.825842116979509e-06
31,857125603f3cf72e2078ed2effd0f6ce40f0ca28,3.721061526695109e-05,4.4159499984450504e-05,3.6416029019810506e-05,4.333664799924009e-05,1.8037626648178184e-06,2.8498757399884127e-06,4.417304509936916e-05,2.9866889897014266e-06,2.537197701114374e-06,3.163264990187574e-06
32,847119387dedec1ce7a85c1c0f29bcf86bc0348d,3.409567390285108e-05,4.020008487056433e-05,3.459130068184789e-05,3.98319389205426e-05,2.1392461635172547e-06,2.8517791199224736e-06,4.126080074955891e-05,3.355194977874466e-06,2.840663585708914e-06,3.1557985664591567e-06
33,deb4be85025088553d80d6637dbc17d7f8101f41,3.4811270502434094e-05,4.052007866261199e-05,3.484551266813503e-05,4.056780815080292e-05,2.1045085561321478e-06,3.002203341444368e-06,4.2005426521241965e-05,3.2066103098237657e-06,2.8736596954300887e-06,3.278906597740558e-06
34,0c06b0b8593d947c5d63b72b6d84ecf83ae5da5b,3.698714284169278e-05,4.436543697114595e-05,3.6110328340631286e-05,4.3687912958828725e-05,2.0362934407534987e-06,2.8229666212001673e-06,4.4526406892562124e-05,3.1222873024433883e-06,2.8787975774058853e-06,3.2036319430187796e-06
35,c003e6ef6e421d23b5bf98f01df20f1350f61ea1,3.53791919253361e-05,4.1321499988303655e-05,3.5424129817871735e-05,4.0872546486715795e-05,2.141797104336228e-06,2.8070747615980866e-06,4.284375999122858e-05,3.151530538146651e-06,2.847805664168038e-06,3.2463068236566517e-06
36,a0c5f64f4f1a7f6ee80dc9b95aa813df28a87d72,3.606449838938011e-05,4.199193051722239e-05,3.6359432265124914e-05,4.2388182362842866e-05,2.2121402825611904e-06,3.1104913983648057e-06,4.4672894748757306e-05,3.5195903807019764e-06,3.1118058584940085e-06,3.526099012860425e-06
37,c53c89f0d8572086dd13cbe1c3c98a4e73b41d09,3.702892049675636e-05,4.261041154117825e-05,3.631375834326415e-05,4.235670391661937e-05,2.1582056547328753e-06,2.8982242940534858e-06,4.320900988251545e-05,3.2541301315511136e-06,2.8525513263163484e-06,3.235809675389311e-06
38,767744c86e1e4a27bf77f90a85f17e564c9b94ea,3.552949346116519e-05,4.157207255119312e-05,3.5920079725568624e-05,4.130346210193679e-05,2.1420282633186078e-06,2.8343068026586596e-06,4.273204419394417e-05,3.1969094375106542e-06,2.8255958448287e-06,3.347010174459938e-06
