,hash,ndim-0,ndim-1,ndim-2
31,857125603f3cf72e2078ed2effd0f6ce40f0ca28,9.195676816902547e-06,1.1828155577199756e-05,1.3020375889787924e-05
32,847119387dedec1ce7a85c1c0f29bcf86bc0348d,9.551390453866175e-06,1.1900777056550173e-05,1.3594705844456179e-05
33,deb4be85025088553d80d6637dbc17d7f8101f41,9.868190454295744e-06,1.2112677116723109e-05,1.3817555410523549e-05
34,0c06b0b8593d947c5d63b72b6d84ecf83ae5da5b,9.423918183363804e-06,1.1922501081072196e-05,1.36115295600905e-05
35,c003e6ef6e421d23b5bf98f01df20f1350f61ea1,1.0451254517689936e-05,1.3006632119764627e-05,1.4889451185862682e-05
36,a0c5f64f4f1a7f6ee80dc9b95aa813df28a87d72,1.4032813474379716e-05,1.610724174642345e-05,1.8018021667861223e-05
37,c53c89f0d8572086dd13cbe1c3c98a4e73b41d09,9.730688233448566e-06,1.1977434310512e-05,1.3808768165206192e-05
38,767744c86e1e4a27bf77f90a85f17e564c9b94ea,9.933965907707302e-06,1.2243433183557944e-05,1.4233450127138502e-05
39,e657629bbc2bfb880a1b2fa24a39c5921c1f965e,9.764638915425388e-06,1.2237630164054724e-05,1.4273250336364528e-05
40,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,9.936211817231114e-06,1.2646571340238189e-05,1.4532210600874612e-05
41,ce140e8d5c28f1f057db1102cf78263e48f86d61,9.976495004428381e-06,1.2052595498716064e-05,1.4000057000465369e-05
42,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,9.584003637428395e-06,1.2227878460431604e-05,1.402243325455696e-05
43,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,9.909184869389644e-06,1.2288859419605505e-05,1.4101393000586937e-05
44,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,1.006388817388841e-05,1.2460630848904747e-05,1.4255585619157144e-05
45,71555c48be7f07833bd540dacb50deb8069b551f,9.994718428247441e-06,1.2338781422180216e-05,1.4140615186176384e-05
46,5324067c702a41e901354a01a5f0d05ff49b6cb4,9.730181363093751e-06,1.2284257358188887e-05,1.4040959552300618e-05
47,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,1.0184211764558874e-05,1.2305135758692535e-05,1.4139266671441126e-05
48,45ee22fa2fdd2bace756ed62685a346da91c4cb2,9.878704539997587e-06,1.2256405108813378e-05,1.4214086786052453e-05
49,798aee26bdb9dcc0e806ca9271f0f98297188dec,9.776360913581977e-06,1.2057623074384876e-05,1.4059596553655065e-05
50,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,9.931620000067844e-06,1.2929956678168048e-05,1.4836108087312074e-05
51,fca7a15f30776ebce9e6814eb927e837f567a518,9.948422506568022e-06,1.2519944075752829e-05,1.440042597332413e-05
52,26311ed7bf80e02c827189e80084602d72e4f284,1.0324066316961686e-05,1.2892634547933866e-05,1.4228348382463116e-05
53,b5e01bcb668da0413170a886c258e00d2540e752,1.0120649263433322e-05,1.2760622530708328e-05,1.4784977317782252e-05
54,ab30683fe1277a7fd471be63975a02ed8d766f94,9.664252727154895e-06,1.2313856903788153e-05,1.4371815694152116e-05
55,3c89e2f913406f55b6e998017c1149e3ba383bcc,9.826281361297746e-06,1.2457010142894707e-05,1.4356399999010039e-05
56,590f07121dc55e6d9d9ce514887c9bbc253fb266,9.639204541930336e-06,1.2216061812823702e-05,1.4034665035616306e-05
57,872372bd56ccb5fe98faae8be7d14e4a8c69e037,1.0094036934432931e-05,1.2354687036641724e-05,1.4222892552036714e-05
58,70a84c3192b4f231925e8e36f50d6a26bff3b46d,9.769940909543286e-06,1.2483683058190022e-05,1.4319344872166062e-05
59,9d416356baf4a653b2c647a921ae24ba7d39e8df,9.936275458709463e-06,1.226516666488646e-05,1.4238500002501233e-05
60,09dd75e9e2139bc9742e6009b7babe41d4c002df,9.932715908110946e-06,1.2579152173548084e-05,1.4530567851520974e-05
61,85d64e375f53f6028519d3aaad0b421934dcbe24,1.0269561160836685e-05,1.2918889740084967e-05,1.4868185834508183e-05
62,09e04dcbe3d0c836437b2d4745b353b256ec6265,1.0297573286027462e-05,1.3178227744668635e-05,1.547183663844671e-05
63,cdd7ab252988ff4254705e0a89874edeb5cea8eb,9.9137304575627e-06,1.2275689385093841e-05,1.4268208654354944e-05
64,06da877ceae914a875bd1a55cd8e271332358803,9.930622730859217e-06,1.3160735730035e-05,1.4249776444755487e-05
65,8529dfaaec65248420faffe095bac03c23881735,1.0163609519241078e-05,1.2987023072224937e-05,1.534015244188351e-05
66,171a3e5811e43643788c20075be9ba52efb83b81,9.764917730618354e-06,1.2279595128637616e-05,1.429458571727956e-05
67,5bf9ab98edd254dee1162d6f1863053e040cf828,9.901947272407018e-06,1.2626601768287775e-05,1.4701663743761063e-05
68,9776a73cee9eaaff6af40e971fa2bb7f8f1086c5,9.627568635385778e-06,1.1933734246833343e-05,1.3870259075626925e-05
69,37a1ad069a800f5ef98286f25fb3fb632375168d,1.0458565218917037e-05,1.276318524804877e-05,1.4694296003047687e-05
70,1cb2230bb1bfb9b2544dab798dffeedce64ad39f,1.047834866871064e-05,1.2873767331498648e-05,1.5007464040299496e-05
71,044f5131450f38cdfbab63d6999b60e7e3bbabe5,1.0408504753106427e-05,1.4619656700636504e-05,1.677551771996999e-05
72,dc089026b4ad0d2d9ea992c7f1b9b5e716dd82cd,9.803596820512957e-06,1.2470867205733826e-05,1.4413724182815796e-05
73,53adf81bc503d749b13160a27e49160c5bbe48d7,1.0258088922255854e-05,1.2726022069598461e-05,1.4622548548251632e-05
74,49e00940a82f9590d774539cd188b634c29fc39f,9.886889089433349e-06,1.2388358992627318e-05,1.4100600704811252e-05
75,7b9b41a4c7dbd7b719d62f343f57f841f5809693,1.0029631362571804e-05,1.2622622208090305e-05,1.4331243590878302e-05
76,ae88e02a48c4744afd22c63be388870037f3c84c,9.817022271983494e-06,1.2215210960916624e-05,1.4155981145002789e-05
77,0aeab48b9e914d1dc7041b7e3f3b7e575ffcbbed,9.935784088487377e-06,1.240118644024327e-05,1.4432104055697972e-05
78,c18b3f59b5f5752ab038224fd3bdf2dadba55ecf,9.76206363537296e-06,1.2304996486480045e-05,1.4030109472952458e-05
79,a5e5e51187d4476841503ce816924ea99936dba0,9.712820955549897e-06,1.2341591621168328e-05,1.4105561539210001e-05
80,b69cf68a24cffea0a884a102da1797755de8f022,1.0230070232822517e-05,1.2792414299972332e-05,1.4424323258809372e-05
81,ee3e17a7c3e3efdeafe907b394de56aed01a70e0,1.046798637677602e-05,1.2770964875047144e-05,1.4712952966340204e-05
82,c71ce0e6dbd9ec67b3ac7fb5ac3eb609f8a56829,1.0216706844805491e-05,1.2706206106284868e-05,1.4462761182099793e-05
83,0ce156413feb21a4f2a8eae3b1cd954d04240edd,1.0037968750573096e-05,1.3006419506347104e-05,1.4818965238108913e-05
84,7e3fd81c039b0e22715c4e6eb63439bdf5a620bf,1.0209727062712868e-05,1.2870672310009043e-05,1.4904760899531657e-05
85,a6b4b2bdd6baf2afde27284097426e93912452e9,1.0154921245894902e-05,1.258002895244961e-05,1.4217416316534604e-05
86,c8a5ff07e5bda47eab870671634b107da5ab7934,9.75518389263273e-06,1.2565790993420542e-05,1.4257519632437786e-05
87,fafd123410f1ad5c47341c66d8ea4cf541165e77,1.0124521510256298e-05,1.2674059749232406e-05,1.4339156651360453e-05
88,9765987c2ade250c82bfeaba49d1f9301211d63a,1.642260450291793e-05,1.9016192110337128e-05,2.0905496182790175e-05
89,dbf37449935bced333a3999afa860aaf304ab1a1,1.6873217108215624e-05,1.953165389695188e-05,2.1586862604222744e-05
90,5e84ac2bf2085d438da2d0dae5d370c4389bbdca,1.6820077219727342e-05,1.9489107171056774e-05,2.1615827050273538e-05
91,c70bff83e452c9b76b7f5de2e6811b800d4f72cf,1.6135156252666524e-05,1.8807538410919342e-05,2.1908603167172114e-05
92,b4fd7a79bc55f17f301d219492528e6f5f40c6f0,1.589591476233532e-05,1.8398591624778426e-05,2.0169268527181606e-05
93,0311c93c8c43cd913303c529673d69575901475e,1.602140223556676e-05,1.8771151897251708e-05,2.059263881506448e-05
94,adf50b93d76fa55d03ccbc4910602cda23b32c7d,1.647193120550281e-05,1.90972017630804e-05,2.117201042849393e-05
95,64619c55896dad1927afe78c0702a58abf0d038f,1.6325707241733474e-05,1.902719050057797e-05,2.0729766251390864e-05
96,eaa59b4f04a0c75091e332afa95a304eddcd93ab,1.637151501619888e-05,1.9126412175271825e-05,2.0847162367432442e-05
97,2810becf98e20bfe2bf99311c5f4f3e150d12d09,1.6554526107731962e-05,1.9426924905303116e-05,2.1367125580480612e-05
98,d34b9ead10e28e3a0a62d642a16efdae2030ed76,1.645244948177023e-05,1.9713113394308787e-05,2.1376171142023255e-05
99,0bd548e287b9e2fd0126f64d8be01a812e3c6a48,1.648191747873708e-05,1.9155419390344768e-05,2.1048505718195903e-05
100,4cba2d91e1546872d29af6b25ad35947f27e03ac,1.627958831508792e-05,1.895559108746063e-05,2.0721896731747865e-05
101,97f9fcb599fec377f35be647afdc2d5c2c6ba1f9,1.63452177484696e-05,1.9445701964550476e-05,2.0997140086409086e-05
102,67c68b88e4120a84ec516725e322265446fc50e6,1.636781988458501e-05,1.946530104506501e-05,2.164025201899819e-05
103,551773f27ccc955ce24d15eae84eed924250c573,1.6335595266899133e-05,1.9569369711126516e-05,2.1369087789935293e-05
104,196d633cb19274ddffb4ba42928126fd15e3282d,1.634953254584356e-05,1.925468563522194e-05,2.0957609860686328e-05
105,1af65ee2225a011b39a9cceac306328be3737aa2,1.624482333716145e-05,1.9161810976456564e-05,2.0715388697835634e-05
106,b4d2295bb5ba3c866553c1d7c10938f7f00c3286,1.622987911105156e-05,1.8996432809148593e-05,2.0777983492832646e-05
107,69898992b339e4614780f626ed07c4244a08648b,1.5937407765975452e-05,1.9090068452911344e-05,2.1010027710525762e-05
108,2d43a901ea6b16ff5bf1766177f16cec4eedfe0c,1.6313790725030766e-05,2.1314421804816823e-05,2.183504164227019e-05
109,fa45695b787070275696e979eb9f476ef3afc5e6,1.6360957235029844e-05,1.9257408624059914e-05,2.092966716196136e-05
