,hash,"arg_kwarg-(array([0., 1.]))","arg_kwarg-(array([0., 1.]), 0)","arg_kwarg-(array([0., 1.]), axis=0)","arg_kwarg-(array([0., 1.]), 0, None)","arg_kwarg-(array([0., 1.]), axis=0, dtype=None)","arg_kwarg-(array([0., 1.]), 0, None, array(0.))","arg_kwarg-(array([0., 1.]), axis=0, dtype=None, out=array(0.))","arg_kwarg-(array([0., 1.]), out=array(0.))"
10,c303c9b77afbc7fe6f4049683c3ccaabdebe7be3,2.0405578050905697e-05,2.0796531786234164e-05,2.264714299089365e-05,2.1158788317384626e-05,2.3562950955880663e-05,1.9238856495232195e-05,2.259918923688228e-05,2.183136060803888e-05
11,fdfc4807cbe2de71f74053c45ae0de383332c4e1,2.0879629918261234e-05,2.152352999656435e-05,2.3175687968826856e-05,2.1587041828752263e-05,2.4030714708364064e-05,1.9747108258787222e-05,2.2761382585026554e-05,2.2816989945656644e-05
12,537d35c2cf49cae0a496c37564fa282ec80e3695,2.0896370498891662e-05,2.1498227871196e-05,2.2978645146769634e-05,2.158653037622571e-05,2.3784419421904855e-05,1.9542893499055278e-05,2.2769268458545594e-05,2.2186743911861637e-05
13,1b6831be8dc33308e77f3d3253f5ee777e3bb178,2.0692780053297293e-05,2.1260192170302616e-05,2.304522836039591e-05,2.1431946809938616e-05,2.380809746682644e-05,1.965349509963672e-05,2.2722883289281883e-05,2.2103635056578005e-05
14,7ef145115fede2c20df2cfc51ed28fcc9742b696,2.0239231793478997e-05,2.0873288490942545e-05,2.2665203995386922e-05,2.1031691502888224e-05,2.353477314179784e-05,1.9016509053230703e-05,2.257696184468396e-05,2.1968633279998283e-05
15,175476fec763984573e60485a447978cbcb381c0,2.0100870694751657e-05,2.0752257149289032e-05,2.2612306025080585e-05,2.1119321782832905e-05,2.353819360470642e-05,1.9460749292735897e-05,2.2675382744270463e-05,2.2149559598330898e-05
16,c3c2b689cd4e1ccc24b18e764f105ed0e400ae92,2.0617486856808174e-05,2.1297872537552853e-05,2.2887173196617163e-05,2.161708091788446e-05,2.3821373429100157e-05,1.9925681556390762e-05,2.274193789171996e-05,2.2203648114840842e-05
17,93240e0d8ea23644a5b7874037e658c54966ff54,2.0688725196106253e-05,2.133909623893931e-05,2.3118460562844306e-05,2.1613090524000084e-05,2.3876129144942183e-05,1.970509712463432e-05,2.282229301383833e-05,2.2261003220472672e-05
18,e1f191c46f2eebd6cb892a4bfe14d9dd43a06c4e,2.0292487793735097e-05,2.09793328862014e-05,2.2846197456342907e-05,2.1085924507208065e-05,2.3554366968539606e-05,1.9672845848222855e-05,2.2518433264044464e-05,2.2117486013649185e-05
19,8eedd3e911b7e3f5f35961871ddb8ee1559d4225,2.0147586310996073e-05,2.1042918081026105e-05,2.2647164019295218e-05,2.1022427345401257e-05,2.342631088812714e-05,1.946972992957598e-05,2.2495713360316944e-05,2.1966922629092422e-05
