,hash,type-int16,type-float16,type-int32,type-float32,type-int64,type-float64,type-complex64,type-longfloat,type-complex128,type-complex256
11,581eab37b5d558ba9b8035f3fa82cfa617e70e26,3.986907252980458e-05,4.5562481554419924e-05,3.995885385193508e-05,4.563934196986913e-05,1.2347065645895184e-05,1.6038993299880103e-05,4.579003385089814e-05,1.68956441162272e-05,1.6337848519526868e-05,1.7229398998849552e-05
12,6f822d20fe5d0596e2b284d3e246e38cb7cea7fc,3.96630182630304e-05,4.5315654288175745e-05,3.973576206127148e-05,4.5497995652571445e-05,1.2393412045660736e-05,1.601293810050596e-05,4.556417693128566e-05,1.6898458714514405e-05,1.6377799212932585e-05,1.688287474784502e-05
13,a60d5e8d7652641b861587f1fc8efa3cf2081bb5,4.015860879773143e-05,4.5684813112643966e-05,4.003300435013241e-05,4.556124732524407e-05,1.2464617969381282e-05,1.6094834061372958e-05,4.5799919740950806e-05,1.6806713230140426e-05,1.6573431829993542e-05,1.7069408168140043e-05
14,9e2d66a110090ee7416f4686593fdf9142ce6cbc,3.998800906736185e-05,4.595345347931906e-05,4.026490414851926e-05,4.598577428247607e-05,1.239097394504809e-05,1.6146396138433333e-05,4.6587169268413596e-05,1.7225876998198436e-05,1.6813017716703487e-05,1.751311365310948e-05
15,d3ec3cb274fdb1a7d25cf7ee4bf2c94a8aeab281,3.9970738642657074e-05,4.6231002562631996e-05,4.029428344909792e-05,4.633144728081711e-05,1.2517180744615749e-05,1.6214809138914275e-05,4.6573381455287404e-05,1.7480242477599965e-05,1.6756310510130886e-05,1.7206328664356328e-05
16,5451fcb06d5ae7cd3f4a9a02314d6e574bd4c83c,3.97369790268873e-05,4.596469377635149e-05,3.9970488561426895e-05,4.5949813191605325e-05,1.2306020567741465e-05,1.617903104661742e-05,4.639030062461616e-05,1.7108512866951815e-05,1.6371863130303775e-05,1.6921130008995536e-05
17,ee60cc9164e5a20b98ee6722e25b0df41e411675,3.9956716636379994e-05,4.6071697631654356e-05,3.998449349584167e-05,4.600713084518658e-05,1.2560757477226547e-05,1.6177855925916722e-05,4.5961457641517864e-05,1.6988218501332154e-05,1.674584051573142e-05,1.7262942547854604e-05
18,f1c4ba3e97cbf5c494f29531b35da6144cac5aec,3.972356715662913e-05,4.55684776741341e-05,4.012492974973557e-05,4.576964627281143e-05,1.2369269268117375e-05,1.577774890595012e-05,4.652306509750157e-05,1.6383590352744228e-05,1.6577686852497703e-05,1.6821838316235054e-05
19,8f8603dd18c9c70191fd75d98793dc94c8ac30fa,3.989288692563881e-05,4.544351621679649e-05,4.019062897121465e-05,4.542952843758601e-05,1.2386973067181547e-05,1.5826116732555548e-05,4.610823515545705e-05,1.6281717560357516e-05,1.6681810474929457e-05,1.6523472137241725e-05
20,d647ef2d98852e322d487d6045d5860223dcda79,3.994086283112402e-05,4.5661432354196216e-05,4.037543613877561e-05,4.586842333694466e-05,1.2547872723464709e-05,1.595961589271816e-05,4.650162464975032e-05,1.6668002059258804e-05,1.6797495593263095e-05,1.7000867223984132e-05
21,e73c8e5479297f235b37fba91d6d0e8464be66a6,4.027067183482426e-05,4.558903691222478e-05,4.042193058144205e-05,4.562105632276606e-05,1.226374138772355e-05,1.5784444994509133e-05,4.647086517742047e-05,1.6512480816856643e-05,1.6682568774928178e-05,1.6925577807614185e-05
