,hash,"op-svd,type-int16","op-svd,type-float16","op-svd,type-int32","op-svd,type-float32","op-svd,type-int64","op-svd,type-float64","op-svd,type-complex64","op-svd,type-longfloat","op-svd,type-complex128","op-svd,type-complex256","op-pinv,type-int16","op-pinv,type-float16","op-pinv,type-int32","op-pinv,type-float32","op-pinv,type-int64","op-pinv,type-float64","op-pinv,type-complex64","op-pinv,type-longfloat","op-pinv,type-complex128","op-pinv,type-complex256","op-det,type-int16","op-det,type-float16","op-det,type-int32","op-det,type-float32","op-det,type-int64","op-det,type-float64","op-det,type-complex64","op-det,type-longfloat","op-det,type-complex128","op-det,type-complex256","op-norm,type-int16","op-norm,type-float16","op-norm,type-int32","op-norm,type-float32","op-norm,type-int64","op-norm,type-float64","op-norm,type-complex64","op-norm,type-longfloat","op-norm,type-complex128","op-norm,type-complex256"
12,26311ed7bf80e02c827189e80084602d72e4f284,0.0046244963305071,,0.004635894336388446,0.00480866024736315,0.004646712666726671,0.004638453833952857,0.008765980252064764,,0.008710768495802768,,0.004916381503183706,,0.004919343167178643,0.004838665501059344,0.00492346916871611,0.004920350829100547,0.009329208500275854,,0.009675471497757826,,0.00019252998234670874,,0.00019387403569583382,0.00019552319645299576,0.00019852310377348848,0.0001851437414659123,0.0005458080260340418,,0.000531349394709411,,2.5622140077292847e-05,0.00012400618254426211,2.6127083564962163e-05,1.887790874678329e-05,3.422593729348907e-05,2.8216174286097994e-05,4.004855992966628e-05,5.004964949765513e-05,5.639188222621241e-05,9.839254814253833e-05
13,b5e01bcb668da0413170a886c258e00d2540e752,0.004634746500717787,,0.0046275014998779325,0.004664101506932639,0.004638457001419738,0.004626482996779184,0.008775692745984998,,0.008719992743863259,,0.004920701830997132,,0.004926811331339801,0.004854349831778866,0.004933786496015577,0.004912939165175582,0.009291657501307782,,0.009676569250586908,,0.0001918656489579007,,0.00019246618752991447,0.00019432453634429046,0.000197379845617847,0.0001823935689854211,0.000543886709860281,,0.0005267146247206256,,2.5814215515370392e-05,0.00012498291453528332,2.6832017545730697e-05,1.8880897314866652e-05,3.409855075121399e-05,2.8037667570274453e-05,3.9471722415970254e-05,5.010835803384611e-05,6.369169033508028e-05,0.00011319770272143327
14,ab30683fe1277a7fd471be63975a02ed8d766f94,0.004700976001913659,,0.004705824341120509,0.004760471002858443,0.004710479833496114,0.004789972333431555,0.009061682001629379,,0.009020669254823588,,0.0050274954992346466,,0.0051744818338193,0.004955105667856211,0.00513496549683623,0.005024443332028265,0.009465213501243852,,0.009859538993623573,,0.00019200700881539663,,0.00019574145609798857,0.00019588341066472433,0.00019794957267797806,0.00018187187078151981,0.0005444939474967356,,0.0005254750743915793,,2.638642697341063e-05,0.00012704370743538276,2.773505846002641e-05,1.934148806976069e-05,3.4753322618217356e-05,2.8647634705218178e-05,4.154466344442233e-05,6.983258989984515e-05,7.390511560999395e-05,0.0001324095296740329
15,3c89e2f913406f55b6e998017c1149e3ba383bcc,0.0047676089937643456,,0.0047143626676794765,0.0047554178357434775,0.004751080501591787,0.004722690495934026,0.009408911246282514,,0.009284323750762269,,0.005153275247721467,,0.005967725250229705,0.005059326998889446,0.005042801254603546,0.005024329999287147,0.009521801010123454,,0.0099121914972784,,0.0001948851451743394,,0.000196062575614976,0.0001980893207902862,0.00020063104798632243,0.00018551130363318537,0.0005562952226480573,,0.0005368873688367833,,2.5516048305474473e-05,0.00012625248182746696,2.6935397958739542e-05,1.7951008528606083e-05,3.438619392116566e-05,2.77465872036723e-05,4.0242847696793984e-05,5.083113105728029e-05,5.563349994533349e-05,0.00011635166991307645
16,590f07121dc55e6d9d9ce514887c9bbc253fb266,0.006975511998462025,,0.006717276167667782,0.0065534011713073905,0.00606661782755206,0.0057143898350962745,0.009261103747121524,,0.009129858503001742,,0.005150300748937298,,0.005143270740518346,0.005083591247966979,0.0052341252521728165,0.005341616997611709,0.010170776498853229,,0.01063400749990251,,0.0002003698961211825,,0.00020209701900932725,0.00033370586522953375,0.00021406326006399466,0.00022707080907738685,0.0005695746116948107,,0.0005578899206164735,,2.5877686609264192e-05,0.00012964758225510344,2.6441122884771484e-05,1.8956954080808928e-05,3.456597269207263e-05,2.867702770090747e-05,4.193190835644509e-05,5.140910898843047e-05,6.477024679090343e-05,0.00011011556472273214
17,872372bd56ccb5fe98faae8be7d14e4a8c69e037,0.004858648161947107,,0.004850064171478152,0.00501662749593379,0.004963731000316329,0.005106755003604728,0.00944207924476359,,0.00911747800273588,,0.005175062251510099,,0.005180597749131266,0.005234978249063715,0.005180168751394376,0.005177747247216757,0.01151282798673492,,0.010146532004000619,,0.00020281019794122086,,0.00020282188669848693,0.0002063815564330105,0.0002064847358269617,0.0001948506054631843,0.0005629559738353189,,0.0005485557362829384,,3.8367454206462765e-05,0.00013753905004705304,3.9617204743410475e-05,3.039631779643702e-05,4.610071402443652e-05,4.108039204518057e-05,5.843433430717192e-05,6.523517161241275e-05,7.824931206620885e-05,0.00015314031398427393
18,70a84c3192b4f231925e8e36f50d6a26bff3b46d,0.006311325247224886,,0.006330702257400844,0.005899735995626543,0.005857306248799432,0.005863926249730866,0.01174722499854397,,0.011715244996594265,,0.006354150005790871,,0.006566699252289254,0.006751052002073266,0.00646999975288054,0.006232703002751805,0.011987996505922638,,0.01326482999138534,,0.00020770674517752566,,0.0002667545969973528,0.0002668095647447532,0.0002681085001489508,0.00024950426450232044,0.0007338905905436893,,0.0007105897081297977,,3.726874892082479e-05,0.00017041519022313877,3.815549103278868e-05,2.826732010532261e-05,4.2688614407683064e-05,2.888864672582257e-05,4.113143511455975e-05,5.1610154817656927e-05,7.280255319573535e-05,0.00010074055975184901
19,9d416356baf4a653b2c647a921ae24ba7d39e8df,0.004714769500424154,,0.004722300000139512,0.004729239997686818,0.004717442827920118,0.0052654800019809045,0.010428311477880925,,0.010239850511425175,,0.005710262994398363,,0.005700477500795387,0.0053855062506045215,0.0057849884979077615,0.005730333752580918,0.010913743491983041,,0.01133879050030373,,0.000267359467069318,,0.0002477495004176021,0.00025803700009419117,0.0002485470805925527,0.0002589824729806718,0.0007406973003526218,,0.0008187996824166144,,2.7582366638876595e-05,0.00012770218088106443,2.7751529356464742e-05,1.9043971343459222e-05,3.536983622069156e-05,2.8458706035782777e-05,4.039755748081738e-05,5.167632196212142e-05,5.807288528911138e-05,0.00010078015717832992
20,09dd75e9e2139bc9742e6009b7babe41d4c002df,0.004876481500105001,,0.004867828160058707,0.00495311033349329,0.005645534668777449,0.005153783335117623,0.010748628745204769,,0.009166953001113143,,0.0051555840036598966,,0.005187468501389958,0.005088996251288336,0.0053175954963080585,0.005286605002766009,0.009833815252932254,,0.0128845224971883,,0.0002656242253461612,,0.0002654745800217854,0.0002683177904879314,0.0002724277738091205,0.0002556375455407595,0.0007462075908816505,,0.0007251772076415364,,3.61905149943615e-05,0.00020811103884345637,3.3678157099833087e-05,2.600508385015397e-05,4.440300006023959e-05,4.052196300853823e-05,4.156167665991853e-05,5.146064225492418e-05,5.952588921009572e-05,0.00010199606357756155
21,85d64e375f53f6028519d3aaad0b421934dcbe24,0.0046189044999967645,,0.004611610662929403,0.004646010832705846,0.00462221349880565,0.004617439835177113,0.008762882251176052,,0.008697464749275241,,0.004940893830886731,,0.004933004665266101,0.0048613066658920925,0.004939330833925245,0.0049383723380742595,0.0093178112510941,,0.00970773274457315,,0.00019137156232318375,,0.0001917804376197247,0.0001946517830837588,0.0001974529364484955,0.00018326350004042917,0.0005450404209305386,,0.0005278530006762594,,2.5309327792933745e-05,0.00012351802268478258,2.535606335882456e-05,1.812240648456393e-05,3.326923221323766e-05,2.7792323539998203e-05,3.951752785987958e-05,5.033814085662767e-05,5.747040817442787e-05,9.84434166942568e-05
