,hash,size-1,size-10,size-100
19,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,2.0520132569469173e-05,2.2989352459501146e-05,0.00015515227496507575
20,fca7a15f30776ebce9e6814eb927e837f567a518,2.1192605818567563e-05,2.3329843876157388e-05,0.00015938657525111922
21,26311ed7bf80e02c827189e80084602d72e4f284,2.1017731215826348e-05,2.318160478272295e-05,0.0001553251247969456
22,b5e01bcb668da0413170a886c258e00d2540e752,2.100759827967765e-05,2.3352694455768047e-05,0.00015275947480404285
23,ab30683fe1277a7fd471be63975a02ed8d766f94,2.009052481940564e-05,2.200945248936965e-05,0.00015083504949870986
24,3c89e2f913406f55b6e998017c1149e3ba383bcc,2.0175124545421837e-05,2.224252947473168e-05,0.0001501680748333456
25,590f07121dc55e6d9d9ce514887c9bbc253fb266,1.972923326986706e-05,2.1888221358627227e-05,0.0001510867999968468
26,872372bd56ccb5fe98faae8be7d14e4a8c69e037,5.12836273491354e-05,5.507766749360599e-05,0.00019138561098467716
27,70a84c3192b4f231925e8e36f50d6a26bff3b46d,2.082398585219569e-05,2.3642334390042608e-05,0.00015186279997578823
28,9d416356baf4a653b2c647a921ae24ba7d39e8df,2.1126208240269677e-05,2.3666299364394595e-05,0.000153013874842145
29,09dd75e9e2139bc9742e6009b7babe41d4c002df,2.171671172405156e-05,2.4180649782942265e-05,0.00015450742503162474
30,85d64e375f53f6028519d3aaad0b421934dcbe24,2.186403549567921e-05,2.4405146795196818e-05,0.00015427667494805064
31,09e04dcbe3d0c836437b2d4745b353b256ec6265,3.089629178065358e-05,3.405423765034806e-05,0.00016888515797051551
32,cdd7ab252988ff4254705e0a89874edeb5cea8eb,3.163621470327784e-05,3.446248142285152e-05,0.00016733439444674571
33,06da877ceae914a875bd1a55cd8e271332358803,3.1119642849911796e-05,3.435638282098808e-05,0.00016627557871336314
34,8529dfaaec65248420faffe095bac03c23881735,3.087128125529985e-05,3.3923289631674405e-05,0.0001687443421504117
35,171a3e5811e43643788c20075be9ba52efb83b81,3.1756470673338614e-05,3.502192524242914e-05,0.00016819627489894629
36,5bf9ab98edd254dee1162d6f1863053e040cf828,3.1844803202373266e-05,3.5221458725457536e-05,0.00016699897375809468
37,9776a73cee9eaaff6af40e971fa2bb7f8f1086c5,3.208121198807483e-05,3.519391110684309e-05,0.00017143305242490515
38,37a1ad069a800f5ef98286f25fb3fb632375168d,2.5355385878356175e-05,2.8114423082945077e-05,0.00015861814990785205
39,1cb2230bb1bfb9b2544dab798dffeedce64ad39f,3.6720500004225294e-05,4.4674164407405116e-05,0.00018527122241115043
40,044f5131450f38cdfbab63d6999b60e7e3bbabe5,2.8226086086297586e-05,3.074805598685864e-05,0.00017866390007839075
41,dc089026b4ad0d2d9ea992c7f1b9b5e716dd82cd,2.6397130121434872e-05,2.915205794546284e-05,0.00016238240004895488
42,53adf81bc503d749b13160a27e49160c5bbe48d7,2.6043380142235227e-05,2.9156076093188503e-05,0.00016047067510953638
43,49e00940a82f9590d774539cd188b634c29fc39f,2.5896247620410197e-05,2.862647090209759e-05,0.00016360245008399942
44,7b9b41a4c7dbd7b719d62f343f57f841f5809693,2.5171724930031135e-05,2.8782065955941666e-05,0.00016065159998106536
45,ae88e02a48c4744afd22c63be388870037f3c84c,2.6070524761893945e-05,2.8992406417512057e-05,0.00016067647493400727
46,0aeab48b9e914d1dc7041b7e3f3b7e575ffcbbed,2.621082603582181e-05,2.9356619042498995e-05,0.0001598661498974252
47,c18b3f59b5f5752ab038224fd3bdf2dadba55ecf,2.557659976480462e-05,2.849442747989717e-05,0.00015915352496449487
