,hash,"a_masked-True,b_masked-True,size-10","a_masked-True,b_masked-True,size-100","a_masked-True,b_masked-True,size-1000","a_masked-True,b_masked-False,size-10","a_masked-True,b_masked-False,size-100","a_masked-True,b_masked-False,size-1000","a_masked-False,b_masked-True,size-10","a_masked-False,b_masked-True,size-100","a_masked-False,b_masked-True,size-1000","a_masked-False,b_masked-False,size-10","a_masked-False,b_masked-False,size-100","a_masked-False,b_masked-False,size-1000"
34,0c06b0b8593d947c5d63b72b6d84ecf83ae5da5b,0.00010193223404942207,0.00010183490767125405,0.00010143845485380062,0.0001621057599550113,0.00016206649215474945,0.000160678868269315,0.00016271874113981403,0.00016351215659625947,0.00015912721210042946,0.0001304191986031561,0.0001306382503030421,0.00013166365708825709
35,c003e6ef6e421d23b5bf98f01df20f1350f61ea1,0.00010206685844986212,0.0001021792704705149,0.00010086877848066036,0.00015643530879432048,0.00015981485502737942,0.00016089922178592255,0.00016293180471455509,0.00015729866484462312,0.00015875031804722369,0.0001294852067704922,0.00013200724946267633,0.00013036597347645848
36,a0c5f64f4f1a7f6ee80dc9b95aa813df28a87d72,0.000100348787825732,0.00010085482416408403,9.9839145233008e-05,0.00015801405328709413,0.0001579403196141791,0.00015779602369154567,0.0001602995778537459,0.00015680737061692134,0.00015858498601508991,0.0001277364222559987,0.0001282472470093791,0.00012831946426048512
37,c53c89f0d8572086dd13cbe1c3c98a4e73b41d09,0.00010087606903997441,0.00010126607729962059,0.00010126954069934212,0.0001591886967366588,0.00016221819039914876,0.00016112105153939302,0.00016126705597696909,0.00016238937314483337,0.00016106734256027266,0.00013156373148100284,0.00013072223518975079,0.00013051166315563022
38,767744c86e1e4a27bf77f90a85f17e564c9b94ea,0.00011264664824417932,0.00011010684416090189,0.00011361917600997032,0.00017015383608879583,0.00017153993859642843,0.00017097040430688468,0.00016987167062267424,0.00016835099086165428,0.0001706110817364982,0.00012965258721989102,0.00013369041262194513,0.0001297673860127911
39,e657629bbc2bfb880a1b2fa24a39c5921c1f965e,0.0001102231222351915,0.00010992176006160057,0.00010995859231211638,0.00016630727369042615,0.00016388849222234318,0.00016505688206473393,0.00016331134940541925,0.00016399517335230485,0.00016433943892479874,0.00012822107343775472,0.00012801621086532022,0.00013007714514093227
40,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,0.00011190777063690207,0.00011521041818449031,0.00011106447414740136,0.00016658440171206585,0.00016839306723947327,0.00016617779469778462,0.0001665731551431453,0.00016534437365349264,0.0001673177898591084,0.0001305343960470791,0.0001321426457194965,0.00012980247573817475
41,ce140e8d5c28f1f057db1102cf78263e48f86d61,0.00011268512091853401,0.00011133649186181126,0.00011030189496906179,0.00017474951598335777,0.00017556493791441122,0.00017707084771245718,0.0001715834587230347,0.00017526187397287054,0.00017628160115899674,0.0001317011738586941,0.0001306754187680781,0.0001344987971393706
42,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,0.00011049997943275152,0.00011004260097174569,0.00011157351017920013,0.00016904431471570595,0.00016554133109157045,0.0001644926187373809,0.000167145178596856,0.0001701039436738938,0.00016517431977840642,0.00012991436579752537,0.00013007028143347047,0.00013381898558388153
43,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,0.0001121845737259875,0.00011064527753853437,0.00011012067106810021,0.00016658619946998652,0.00016672337322586007,0.00016684821551485408,0.0001673665153042924,0.0001688758420641534,0.00016689202442887377,0.00012971978867426515,0.00012962359635691558,0.0001284573000015282
