,hash,type-int8,type-int16,type-float32,type-float64,type-complex64,type-complex128
23,ce6d3ffc991c63c1a91fd806b4eb3d0008caace2,1.2360968529448286e-05,2.369932718326095e-05,4.7818437324405756e-05,8.765101290097641e-05,8.766760300027161e-05,0.00017841267011438805
24,aab7993af0f6f3b9ac0d76952933b19163d65496,1.2543192503299398e-05,2.3777761836410376e-05,4.7851255417920416e-05,8.719100609539063e-05,8.614408952279354e-05,0.00017847643799281547
25,b94c2b01ff7ef5b8dc44726512cfa232e9054882,1.2375511523845385e-05,2.376114629128928e-05,4.769444339010015e-05,8.728119917213917e-05,8.661079813133587e-05,0.00017758833015697046
26,f737b354e6ab2aef8b4c05bca0011de46a4b53b0,1.2130039172936539e-05,2.360412371203755e-05,4.7528225797833064e-05,8.71163234114647e-05,8.663208609505091e-05,0.00017994409427046776
27,bbd5a7750fbed42a4aaf12f196282a9504a1e865,1.2064009318434098e-05,2.3358694922465545e-05,4.7418218331806585e-05,8.613649333710782e-05,8.627717264942706e-05,0.0001775177736436167
28,66f1b8a5411e8265ed87ff7bf97c67960af2624d,1.2427071113897003e-05,2.3809376220428334e-05,4.780067648324701e-05,8.648878429085016e-05,8.668543748734963e-05,0.00017661835339948022
29,d9347181d825d9426e783cfeafee304735bd25aa,1.2049013697593423e-05,2.351266878840018e-05,4.7552080833034596e-05,8.681091648621822e-05,8.687299803920811e-05,0.00017686230906595787
30,fc159a547f091d1d6f75db470a0b8e9b2e7acea6,1.237394410322924e-05,2.362982969103418e-05,4.7457953393138176e-05,8.64678942081001e-05,8.650529461221829e-05,0.00017531416459201738
31,857125603f3cf72e2078ed2effd0f6ce40f0ca28,1.2608467189923304e-05,2.386719081758258e-05,4.795480556457841e-05,8.753340647328558e-05,8.70683905118563e-05,0.0001807540916559989
32,847119387dedec1ce7a85c1c0f29bcf86bc0348d,1.2457249942155639e-05,2.3703779845374593e-05,4.791391599509451e-05,8.634844198240899e-05,8.653083793996346e-05,0.0001771264593116939
33,deb4be85025088553d80d6637dbc17d7f8101f41,1.238181477011238e-05,2.358190695497584e-05,4.746273444997596e-05,8.654761873185636e-05,8.623396024631802e-05,0.0001772179501131177
34,0c06b0b8593d947c5d63b72b6d84ecf83ae5da5b,1.2117876548333344e-05,2.3402316450942267e-05,4.748387020163336e-05,8.589170119237332e-05,8.62420635576558e-05,0.00017538369770665638
35,c003e6ef6e421d23b5bf98f01df20f1350f61ea1,1.2206450964395815e-05,2.3299677634675953e-05,4.7118109711385395e-05,8.6367417126894e-05,8.68190655587461e-05,0.00017732905498782142
36,a0c5f64f4f1a7f6ee80dc9b95aa813df28a87d72,1.2181511013568826e-05,2.352651126944182e-05,4.755266088713371e-05,8.613495342433453e-05,8.641443960368634e-05,0.00017636582100143036
37,c53c89f0d8572086dd13cbe1c3c98a4e73b41d09,1.202465246500667e-05,2.3362573824430766e-05,4.742682703133476e-05,8.57540981087368e-05,8.606608025729656e-05,0.00017421811475957694
38,767744c86e1e4a27bf77f90a85f17e564c9b94ea,1.2436564548185507e-05,2.3699947117737175e-05,4.762050383908896e-05,8.625920869292706e-05,8.657308376675087e-05,0.00017670308762605776
39,e657629bbc2bfb880a1b2fa24a39c5921c1f965e,1.1492552827500428e-05,2.2805518245352414e-05,4.683648308043572e-05,8.623234119064125e-05,8.513818230978617e-05,0.00017362104965344308
40,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,1.2098409177755428e-05,2.3450430211405682e-05,4.7339797979260715e-05,8.606518193434073e-05,8.658617808241545e-05,0.0001756965493162473
41,ce140e8d5c28f1f057db1102cf78263e48f86d61,1.2677201037488535e-05,2.402342378102119e-05,4.795218596341589e-05,8.713351562619209e-05,8.784624977066876e-05,0.0001794185913500509
42,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,1.2252442372430647e-05,2.3601222943210808e-05,4.7507143884511853e-05,8.610860209941394e-05,8.657302956764153e-05,0.0001795971494478484
