,hash,type-int16,type-float16,type-int32,type-float32,type-int64,type-float64,type-complex64,type-longfloat,type-complex128,type-complex256
10,267621f07a902eceffc179fa01f984f3e2d4bdcd,5.261130620295817e-06,5.359027427664282e-06,5.296858506005736e-06,5.4401057560990875e-06,5.247408371291475e-06,5.645113294686351e-06,5.794235015045382e-06,5.4647852839143185e-06,6.030834543132116e-06,5.98538433156412e-06
11,581eab37b5d558ba9b8035f3fa82cfa617e70e26,5.352976327728208e-06,5.356095322816224e-06,5.372223189213181e-06,5.497153913116928e-06,5.350688066784411e-06,5.7166658170338015e-06,6.064730366142062e-06,5.416169198955319e-06,6.384008959813289e-06,6.113864116071224e-06
12,6f822d20fe5d0596e2b284d3e246e38cb7cea7fc,5.313554888531675e-06,5.282214860595256e-06,5.2889469327126155e-06,5.3774705800879375e-06,5.292453021925791e-06,5.665001551928866e-06,5.822619195272149e-06,5.483334816687699e-06,6.149354095451235e-06,6.225622174414721e-06
13,a60d5e8d7652641b861587f1fc8efa3cf2081bb5,5.382714895802082e-06,5.2803611749561675e-06,5.405746434900224e-06,5.40203544348552e-06,5.388774675029422e-06,5.659020378955838e-06,5.8039097872951246e-06,5.522840093452852e-06,6.195768864521069e-06,5.972457072492979e-06
14,9e2d66a110090ee7416f4686593fdf9142ce6cbc,5.36431129697559e-06,5.243404359203537e-06,5.268481715645535e-06,5.449306396287053e-06,5.261630286649049e-06,5.5615693274034465e-06,5.917369538453236e-06,5.460274762464652e-06,6.290075237050199e-06,6.239447281571273e-06
15,d3ec3cb274fdb1a7d25cf7ee4bf2c94a8aeab281,5.468999516413991e-06,5.539424849469018e-06,5.580845375236147e-06,5.717331933898522e-06,5.4670360222014625e-06,5.811578359464752e-06,6.201892171668101e-06,5.621451093664383e-06,6.373020239898238e-06,6.012978770260541e-06
16,5451fcb06d5ae7cd3f4a9a02314d6e574bd4c83c,5.351694005473358e-06,5.362890766178236e-06,5.344221343730955e-06,5.557421870628891e-06,5.349750488873774e-06,5.6692788867472245e-06,5.972351074695006e-06,5.5422593835944545e-06,6.3020006045525645e-06,6.097228392518172e-06
17,ee60cc9164e5a20b98ee6722e25b0df41e411675,5.533059128097512e-06,5.425649156347138e-06,5.5300048213322995e-06,5.56121292092916e-06,5.551880976777116e-06,5.746283898784873e-06,6.33970074482241e-06,5.570991099480379e-06,6.4984653037407495e-06,6.169028562942037e-06
18,f1c4ba3e97cbf5c494f29531b35da6144cac5aec,5.3402829115587045e-06,5.263431765739386e-06,5.331844326043969e-06,5.5192390244619384e-06,5.344523932410484e-06,5.55658285436469e-06,6.044934923340987e-06,5.4973256457873845e-06,6.255290899721403e-06,5.984744583912365e-06
19,8f8603dd18c9c70191fd75d98793dc94c8ac30fa,5.697570168503006e-06,5.609992038518144e-06,5.678693389542327e-06,5.861601128609071e-06,5.666346475093734e-06,5.872196044688472e-06,6.606013728935577e-06,5.781903025856093e-06,6.928102055427718e-06,6.431860034426474e-06
