,hash,ndim-0,ndim-1,ndim-2
54,ab30683fe1277a7fd471be63975a02ed8d766f94,7.821508039153332e-06,1.02873098155767e-05,1.2359148714431497e-05
55,3c89e2f913406f55b6e998017c1149e3ba383bcc,8.070649481354493e-06,1.0704011734616779e-05,1.2633179644192628e-05
56,590f07121dc55e6d9d9ce514887c9bbc253fb266,7.638532268068424e-06,1.0249332325371933e-05,1.2080369902199162e-05
57,872372bd56ccb5fe98faae8be7d14e4a8c69e037,8.011619883562387e-06,1.0414526341189553e-05,1.2162449884712789e-05
58,70a84c3192b4f231925e8e36f50d6a26bff3b46d,7.952436414014648e-06,1.0684688096512435e-05,1.2482957088342746e-05
59,9d416356baf4a653b2c647a921ae24ba7d39e8df,7.868054559322612e-06,1.0155603587958648e-05,1.2008763385028196e-05
60,09dd75e9e2139bc9742e6009b7babe41d4c002df,7.900468770292408e-06,1.0597880559746442e-05,1.2502418948436042e-05
61,85d64e375f53f6028519d3aaad0b421934dcbe24,7.941299928161707e-06,1.0231112406445528e-05,1.225531428884766e-05
62,09e04dcbe3d0c836437b2d4745b353b256ec6265,8.418599849028948e-06,1.1218041837142962e-05,1.3655325734610831e-05
63,cdd7ab252988ff4254705e0a89874edeb5cea8eb,7.801913335072752e-06,1.0182077838200693e-05,1.1980954006889299e-05
64,06da877ceae914a875bd1a55cd8e271332358803,8.083503679004292e-06,1.0531737341463464e-05,1.2320011201144373e-05
65,8529dfaaec65248420faffe095bac03c23881735,8.295498485571352e-06,1.1207118516806598e-05,1.3499372860563072e-05
66,171a3e5811e43643788c20075be9ba52efb83b81,8.001251532257625e-06,1.0430821663901155e-05,1.2360835766874988e-05
67,5bf9ab98edd254dee1162d6f1863053e040cf828,7.785747873395392e-06,1.0633155864406398e-05,1.2612565167428445e-05
68,9776a73cee9eaaff6af40e971fa2bb7f8f1086c5,7.570633541040954e-06,9.869325000512288e-06,1.166971360899622e-05
69,37a1ad069a800f5ef98286f25fb3fb632375168d,7.902891392825838e-06,1.0127638277134837e-05,1.2067707557295453e-05
70,1cb2230bb1bfb9b2544dab798dffeedce64ad39f,1.8170193800717116e-05,1.683195398876192e-05,1.2615534761204123e-05
71,044f5131450f38cdfbab63d6999b60e7e3bbabe5,8.082978996983026e-06,1.2386109701513181e-05,1.4465769012403505e-05
72,dc089026b4ad0d2d9ea992c7f1b9b5e716dd82cd,7.779155525860275e-06,1.0352562208862713e-05,1.2321135650198091e-05
73,53adf81bc503d749b13160a27e49160c5bbe48d7,7.90675493104603e-06,1.0489768831275077e-05,1.2140198461160777e-05
74,49e00940a82f9590d774539cd188b634c29fc39f,7.653034225368482e-06,1.0034057731073434e-05,1.1981543168791982e-05
75,7b9b41a4c7dbd7b719d62f343f57f841f5809693,7.707218991211845e-06,1.0171662789341712e-05,1.2101833533370914e-05
76,ae88e02a48c4744afd22c63be388870037f3c84c,7.701760253734305e-06,1.0134004055392166e-05,1.1824870153398887e-05
77,0aeab48b9e914d1dc7041b7e3f3b7e575ffcbbed,7.840381837334486e-06,1.0269197853497426e-05,1.2313251510575559e-05
78,c18b3f59b5f5752ab038224fd3bdf2dadba55ecf,7.501032622972811e-06,1.0093581877567329e-05,1.1762885104814059e-05
79,a5e5e51187d4476841503ce816924ea99936dba0,7.608428620931075e-06,1.020569567516424e-05,1.18799840784736e-05
80,b69cf68a24cffea0a884a102da1797755de8f022,7.964241831029442e-06,1.0145439814045354e-05,1.2227392551864148e-05
81,ee3e17a7c3e3efdeafe907b394de56aed01a70e0,7.873825288383322e-06,1.0185880643457366e-05,1.2008874703425696e-05
82,c71ce0e6dbd9ec67b3ac7fb5ac3eb609f8a56829,7.801431010676045e-06,1.0172203326272448e-05,1.1953334421708708e-05
83,0ce156413feb21a4f2a8eae3b1cd954d04240edd,7.6238149188628994e-06,1.0404529957142119e-05,1.2232821733290381e-05
84,7e3fd81c039b0e22715c4e6eb63439bdf5a620bf,7.98772579355937e-06,1.0640014975713025e-05,1.2712492529338296e-05
85,a6b4b2bdd6baf2afde27284097426e93912452e9,7.920077288019702e-06,1.0482697175708785e-05,1.2136187292802668e-05
86,c8a5ff07e5bda47eab870671634b107da5ab7934,7.594949271275441e-06,1.0196348026324182e-05,1.194760053909409e-05
87,fafd123410f1ad5c47341c66d8ea4cf541165e77,7.520189363000533e-06,9.801938182466652e-06,1.1711074658025942e-05
88,9765987c2ade250c82bfeaba49d1f9301211d63a,1.0144738867112848e-05,1.2613057405351053e-05,1.4352579887632295e-05
89,dbf37449935bced333a3999afa860aaf304ab1a1,1.064476060546991e-05,1.2880060038051847e-05,1.4527060452466765e-05
90,5e84ac2bf2085d438da2d0dae5d370c4389bbdca,9.882626367140223e-06,1.2472029454699993e-05,1.4347415960704286e-05
91,c70bff83e452c9b76b7f5de2e6811b800d4f72cf,1.0607397848206435e-05,1.2655945925641506e-05,1.4453481649064494e-05
92,b4fd7a79bc55f17f301d219492528e6f5f40c6f0,9.969968985247505e-06,1.2521975673154516e-05,1.4281808104920156e-05
