,hash,ndim-0,ndim-1,ndim-2
22,09e04dcbe3d0c836437b2d4745b353b256ec6265,1.012931788088607e-05,1.2536903843690701e-05,1.4397023593717611e-05
23,cdd7ab252988ff4254705e0a89874edeb5cea8eb,9.881655733526867e-06,1.2183827670333161e-05,1.3996899869831229e-05
24,06da877ceae914a875bd1a55cd8e271332358803,1.0171145109679518e-05,1.282171846656281e-05,1.4638371848145646e-05
25,8529dfaaec65248420faffe095bac03c23881735,1.0035411238027252e-05,1.231045637986054e-05,1.4026166892675097e-05
26,171a3e5811e43643788c20075be9ba52efb83b81,1.0274147918465015e-05,1.2652833769520185e-05,1.4487230035423456e-05
27,5bf9ab98edd254dee1162d6f1863053e040cf828,1.0324437020104737e-05,1.3034834323651124e-05,1.5062771965928663e-05
28,9776a73cee9eaaff6af40e971fa2bb7f8f1086c5,1.4559419028518795e-05,1.6689468857210898e-05,1.8403130104538803e-05
29,37a1ad069a800f5ef98286f25fb3fb632375168d,1.4566347702245985e-05,2.057850950473823e-05,2.0625962117099498e-05
30,1cb2230bb1bfb9b2544dab798dffeedce64ad39f,1.6202050154717793e-05,1.864208870510747e-05,2.0627756597570864e-05
31,044f5131450f38cdfbab63d6999b60e7e3bbabe5,1.4375787526874707e-05,1.658099924486989e-05,1.8466141763505336e-05
32,dc089026b4ad0d2d9ea992c7f1b9b5e716dd82cd,1.417669275761094e-05,1.6566479346495612e-05,1.8346999171497253e-05
33,53adf81bc503d749b13160a27e49160c5bbe48d7,1.4625417012566724e-05,1.844136211225312e-05,2.027072734694391e-05
34,49e00940a82f9590d774539cd188b634c29fc39f,1.4483160842565856e-05,2.663751879857531e-05,2.7423361355128388e-05
35,7b9b41a4c7dbd7b719d62f343f57f841f5809693,1.4243226565569492e-05,1.6774906787696172e-05,1.8721569908116914e-05
36,ae88e02a48c4744afd22c63be388870037f3c84c,1.4322388375285056e-05,1.6795872245718393e-05,1.8617503400844503e-05
37,0aeab48b9e914d1dc7041b7e3f3b7e575ffcbbed,1.435929048163865e-05,1.6442221798035883e-05,1.8204686968301255e-05
38,c18b3f59b5f5752ab038224fd3bdf2dadba55ecf,1.4328874496803069e-05,1.684653639879602e-05,1.8762943857841657e-05
39,a5e5e51187d4476841503ce816924ea99936dba0,1.4905946860797271e-05,1.7448111630451125e-05,1.9489320846771652e-05
40,b69cf68a24cffea0a884a102da1797755de8f022,1.4072321065056597e-05,1.6139164663018927e-05,1.794560116171564e-05
41,ee3e17a7c3e3efdeafe907b394de56aed01a70e0,2.252110875738485e-05,2.637421717468009e-05,2.9330340337924264e-05
42,c71ce0e6dbd9ec67b3ac7fb5ac3eb609f8a56829,1.636904537707353e-05,2.7538558831164503e-05,2.9125028049747925e-05
43,0ce156413feb21a4f2a8eae3b1cd954d04240edd,1.774778975360589e-05,2.018327829126357e-05,2.200286761042425e-05
44,7e3fd81c039b0e22715c4e6eb63439bdf5a620bf,1.6829942166515508e-05,1.899949338696974e-05,2.1030389388274442e-05
45,a6b4b2bdd6baf2afde27284097426e93912452e9,2.148490226709078e-05,2.422945840536865e-05,2.2034589547295706e-05
46,c8a5ff07e5bda47eab870671634b107da5ab7934,9.108729546741498e-06,1.1241204813176274e-05,1.3023928568806144e-05
47,fafd123410f1ad5c47341c66d8ea4cf541165e77,9.374389086257329e-06,1.17684951944214e-05,1.3494083955755601e-05
48,9765987c2ade250c82bfeaba49d1f9301211d63a,9.389471365879713e-06,1.2300877278123654e-05,1.385996908400998e-05
49,dbf37449935bced333a3999afa860aaf304ab1a1,1.4477930453722364e-05,1.1850635688407529e-05,1.3784308709959342e-05
50,e1863f3582e3e8870205f8a9d1ed1cef1bf536b4,9.918593438463193e-06,1.2499000003693662e-05,2.0006028011974885e-05
51,70f4309a155808d3a60a9a71db2d9482c1ec3ad7,9.509696743367938e-06,1.2059241987285855e-05,1.3838546442603994e-05
52,bb6b86e2afe88b371badfcefe298945002e47006,9.318222728325054e-06,1.1691271626701939e-05,1.3812459574590104e-05
53,5c3762157a0cd7a6a036a2144a5fbfc5278a919d,1.270753000426339e-05,1.4969388275197837e-05,1.3872228590237043e-05
54,e0ffe3572b37190d9da5b1d07057e4e038bd3197,1.1644375873102644e-05,1.5065125975902978e-05,1.703562857333704e-05
55,cfb6a4d88d88307d507a86d1d70cd7d84c611406,9.936680455046538e-06,1.735797773093053e-05,1.977872272211862e-05
56,d4f7d9e215773e979eb43a1e5a3cbb51f96bd09d,9.750735910281284e-06,1.2211467472753203e-05,1.4033533379600523e-05
57,bec2b07db5c999721d2d2c10334f3afe78aaadd9,1.1435173635783775e-05,1.2239959817504443e-05,1.4352320380520764e-05
58,5ca0ef6272ef3eabe2feb4049b7cb05a52516495,9.668481817987578e-06,1.2117350681855939e-05,1.395381115229057e-05
59,cb557b79fa0ce467c881830f8e8e042c484ccfaa,1.5888869074178793e-05,1.858145514273076e-05,2.2838216568214744e-05
60,badbf70324274bdb4299d8c64d3d83a26be2d4c0,9.516807728108357e-06,1.1540762828699562e-05,1.3300460826333923e-05
61,4c780c2d4b35a54cf45ca7d931efcaca73d0bf24,9.706640452019531e-06,1.22848844841661e-05,1.3819803048003337e-05
62,3c91a3e1704c8aa7f1258aa30892040df9d952f4,1.0234845145777086e-05,1.4859373632057162e-05,1.692966389130435e-05
